Details,A Details,B Details,C Details,D Details,Answer,Difficulty
"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat",Excepteur sint occaecat cupidatat non proident,Sunt in culpa qui officia deserunt mollit anim id est laborum,Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium,"Totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo",A,Easy
"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat",Excepteur sint occaecat cupidatat non proident,Sunt in culpa qui officia deserunt mollit anim id est laborum,Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium,"Totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo",A,Average
"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat",Excepteur sint occaecat cupidatat non proident,Sunt in culpa qui officia deserunt mollit anim id est laborum,Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium,"Totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo",A,Difficult
"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat",Excepteur sint occaecat cupidatat non proident,Sunt in culpa qui officia deserunt mollit anim id est laborum,Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium,"Totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo",A,Easy
"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat",Excepteur sint occaecat cupidatat non proident,Sunt in culpa qui officia deserunt mollit anim id est laborum,Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium,"Totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo",A,Average
"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat",Excepteur sint occaecat cupidatat non proident,Sunt in culpa qui officia deserunt mollit anim id est laborum,Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium,"Totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo",A,Difficult
"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat",Excepteur sint occaecat cupidatat non proident,Sunt in culpa qui officia deserunt mollit anim id est laborum,Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium,"Totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo",A,Easy
"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat",Excepteur sint occaecat cupidatat non proident,Sunt in culpa qui officia deserunt mollit anim id est laborum,Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium,"Totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo",A,Average
"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat",Excepteur sint occaecat cupidatat non proident,Sunt in culpa qui officia deserunt mollit anim id est laborum,Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium,"Totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo",A,Difficult
"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat",Excepteur sint occaecat cupidatat non proident,Sunt in culpa qui officia deserunt mollit anim id est laborum,Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium,"Totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo",A,Easy
"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat",Excepteur sint occaecat cupidatat non proident,Sunt in culpa qui officia deserunt mollit anim id est laborum,Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium,"Totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo",A,Average
"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat",Excepteur sint occaecat cupidatat non proident,Sunt in culpa qui officia deserunt mollit anim id est laborum,Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium,"Totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo",A,Difficult
"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat",Excepteur sint occaecat cupidatat non proident,Sunt in culpa qui officia deserunt mollit anim id est laborum,Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium,"Totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo",A,Easy
"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat",Excepteur sint occaecat cupidatat non proident,Sunt in culpa qui officia deserunt mollit anim id est laborum,Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium,"Totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo",A,Average
"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat",Excepteur sint occaecat cupidatat non proident,Sunt in culpa qui officia deserunt mollit anim id est laborum,Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium,"Totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo",A,Difficult
"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat",Excepteur sint occaecat cupidatat non proident,Sunt in culpa qui officia deserunt mollit anim id est laborum,Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium,"Totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo",A,Easy
"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat",Excepteur sint occaecat cupidatat non proident,Sunt in culpa qui officia deserunt mollit anim id est laborum,Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium,"Totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo",A,Average
"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat",Excepteur sint occaecat cupidatat non proident,Sunt in culpa qui officia deserunt mollit anim id est laborum,Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium,"Totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo",A,Difficult
"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat",Excepteur sint occaecat cupidatat non proident,Sunt in culpa qui officia deserunt mollit anim id est laborum,Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium,"Totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo",A,Easy
"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat",Excepteur sint occaecat cupidatat non proident,Sunt in culpa qui officia deserunt mollit anim id est laborum,Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium,"Totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo",A,Average
"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat",Excepteur sint occaecat cupidatat non proident,Sunt in culpa qui officia deserunt mollit anim id est laborum,Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium,"Totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo",A,Difficult
